Timestamp,Total Memory (PSS) (MB)
2024-12-29 17:58:04,275.26
2024-12-29 17:58:06,277.90
2024-12-29 17:58:08,277.89
2024-12-29 17:58:10,214.41
2024-12-29 17:58:12,209.23
2024-12-29 17:58:15,213.20
2024-12-29 17:58:17,365.81
2024-12-29 17:58:19,363.40
2024-12-29 17:58:21,400.90
2024-12-29 17:58:24,425.64
2024-12-29 17:58:26,419.12
2024-12-29 17:58:28,416.40
2024-12-29 17:58:30,411.63
2024-12-29 17:58:32,412.76
2024-12-29 17:58:34,404.49
2024-12-29 17:58:36,404.27
2024-12-29 17:58:39,410.30
2024-12-29 17:58:41,412.27
2024-12-29 17:58:43,410.47
2024-12-29 17:58:45,358.66
2024-12-29 17:58:47,359.29
2024-12-29 17:58:50,353.08
2024-12-29 17:58:52,358.76
2024-12-29 17:58:54,350.96
2024-12-29 17:58:56,355.90
2024-12-29 17:58:59,351.06
2024-12-29 17:59:01,353.26
2024-12-29 17:59:03,364.26
2024-12-29 17:59:05,368.93
2024-12-29 17:59:08,372.22
2024-12-29 17:59:10,377.09
2024-12-29 17:59:12,381.42
2024-12-29 17:59:14,376.74
2024-12-29 17:59:17,382.92
2024-12-29 17:59:19,378.53
2024-12-29 17:59:21,378.51
2024-12-29 17:59:23,378.48
2024-12-29 17:59:26,379.71
2024-12-29 17:59:28,388.63
2024-12-29 17:59:30,389.85
2024-12-29 17:59:32,392.20
2024-12-29 17:59:35,387.38
2024-12-29 17:59:37,395.59
2024-12-29 17:59:39,390.77
2024-12-29 17:59:41,395.38
2024-12-29 17:59:44,390.58
2024-12-29 17:59:46,390.54
2024-12-29 17:59:48,391.67
2024-12-29 17:59:50,398.76
2024-12-29 17:59:53,401.14
2024-12-29 17:59:55,402.23
2024-12-29 17:59:57,403.17
2024-12-29 17:59:59,369.69
2024-12-29 18:00:02,371.83
2024-12-29 18:00:04,377.59
2024-12-29 18:00:06,372.76
2024-12-29 18:00:08,372.70
2024-12-29 18:00:10,372.67
2024-12-29 18:00:13,374.00
2024-12-29 18:00:15,379.19
2024-12-29 18:00:17,381.11
2024-12-29 18:00:19,380.17
2024-12-29 18:00:22,384.09
2024-12-29 18:00:24,384.11
2024-12-29 18:00:26,373.25
2024-12-29 18:00:28,368.47
2024-12-29 18:00:31,368.40
2024-12-29 18:00:33,368.41
2024-12-29 18:00:35,370.76
2024-12-29 18:00:37,378.80
2024-12-29 18:00:40,381.84
2024-12-29 18:00:42,367.97
2024-12-29 18:00:44,374.58
2024-12-29 18:00:46,371.41
2024-12-29 18:00:49,376.04
2024-12-29 18:00:51,371.25
2024-12-29 18:00:53,371.38
2024-12-29 18:00:55,371.38
2024-12-29 18:00:58,371.38
2024-12-29 18:01:00,377.74
2024-12-29 18:01:02,380.14
2024-12-29 18:01:04,377.54
2024-12-29 18:01:07,383.60
2024-12-29 18:01:09,385.62
2024-12-29 18:01:11,386.79
2024-12-29 18:01:13,386.40
2024-12-29 18:01:16,368.14
2024-12-29 18:01:18,364.82
2024-12-29 18:01:20,364.75
2024-12-29 18:01:22,365.89
2024-12-29 18:01:24,372.62
2024-12-29 18:01:27,373.94
2024-12-29 18:01:29,376.04
2024-12-29 18:01:31,378.36
2024-12-29 18:01:33,380.53
2024-12-29 18:01:36,378.83
2024-12-29 18:01:38,381.32
2024-12-29 18:01:40,376.49
2024-12-29 18:01:43,376.45
2024-12-29 18:01:45,376.45
2024-12-29 18:01:47,377.41
2024-12-29 18:01:49,382.94
2024-12-29 18:01:52,382.30
2024-12-29 18:01:54,386.24
2024-12-29 18:01:56,378.83
2024-12-29 18:01:58,369.01
2024-12-29 18:02:01,370.72
2024-12-29 18:02:03,366.13
2024-12-29 18:02:05,365.93
2024-12-29 18:02:07,365.93
2024-12-29 18:02:10,367.10
2024-12-29 18:02:12,374.13
2024-12-29 18:02:14,376.43
2024-12-29 18:02:16,377.52
2024-12-29 18:02:19,380.55
2024-12-29 18:02:21,380.77
2024-12-29 18:02:23,383.60
2024-12-29 18:02:25,378.60
2024-12-29 18:02:28,367.10
2024-12-29 18:02:30,367.06
2024-12-29 18:02:32,367.04
2024-12-29 18:02:34,376.39
2024-12-29 18:02:36,381.43
2024-12-29 18:02:39,362.09
2024-12-29 18:02:41,368.66
2024-12-29 18:02:43,370.69
2024-12-29 18:02:45,367.24
2024-12-29 18:02:48,374.24
2024-12-29 18:02:50,371.10
2024-12-29 18:02:52,371.02
2024-12-29 18:02:54,371.02
2024-12-29 18:02:57,371.87
2024-12-29 18:02:59,377.96
2024-12-29 18:03:01,380.21
2024-12-29 18:03:03,382.49
2024-12-29 18:03:06,377.67
2024-12-29 18:03:08,385.42
2024-12-29 18:03:10,390.37
2024-12-29 18:03:12,367.33
2024-12-29 18:03:15,362.74
2024-12-29 18:03:17,362.47
2024-12-29 18:03:19,362.48
2024-12-29 18:03:21,364.55
2024-12-29 18:03:24,371.68
2024-12-29 18:03:26,372.71
2024-12-29 18:03:28,373.66
2024-12-29 18:03:30,380.18
2024-12-29 18:03:33,378.35
2024-12-29 18:03:35,380.69
2024-12-29 18:03:37,376.59
2024-12-29 18:03:40,376.55
2024-12-29 18:03:42,376.54
2024-12-29 18:03:44,376.93
2024-12-29 18:03:46,384.15
2024-12-29 18:03:48,386.39
2024-12-29 18:03:51,387.56
2024-12-29 18:03:53,366.58
2024-12-29 18:03:55,371.57
2024-12-29 18:03:57,375.27
2024-12-29 18:04:00,376.45
2024-12-29 18:04:02,371.63
2024-12-29 18:04:04,371.57
2024-12-29 18:04:06,371.57
2024-12-29 18:04:09,378.56
2024-12-29 18:04:11,374.95
2024-12-29 18:04:13,382.05
2024-12-29 18:04:16,382.46
2024-12-29 18:04:18,379.25
2024-12-29 18:04:20,386.88
2024-12-29 18:04:22,382.06
2024-12-29 18:04:25,387.89
2024-12-29 18:04:27,374.14
2024-12-29 18:04:29,374.14
2024-12-29 18:04:31,374.08
2024-12-29 18:04:33,382.26
2024-12-29 18:04:36,365.37
2024-12-29 18:04:38,362.60
2024-12-29 18:04:40,371.80
2024-12-29 18:04:42,375.00
2024-12-29 18:04:45,376.24
2024-12-29 18:04:47,371.42
2024-12-29 18:04:49,375.78
2024-12-29 18:04:51,372.81
2024-12-29 18:04:54,372.79
2024-12-29 18:04:56,373.86
2024-12-29 18:04:58,381.35
2024-12-29 18:05:00,383.64
2024-12-29 18:05:03,385.23
2024-12-29 18:05:05,381.44
2024-12-29 18:05:07,387.27
2024-12-29 18:05:09,368.68
2024-12-29 18:05:12,369.57
2024-12-29 18:05:14,366.42
2024-12-29 18:05:16,366.39
2024-12-29 18:05:18,366.36
2024-12-29 18:05:21,368.59
2024-12-29 18:05:23,374.44
2024-12-29 18:05:25,377.50
2024-12-29 18:05:27,378.54
2024-12-29 18:05:30,375.15
2024-12-29 18:05:32,383.10
2024-12-29 18:05:34,382.58
2024-12-29 18:05:36,379.26
2024-12-29 18:05:39,375.93
2024-12-29 18:05:41,375.85
2024-12-29 18:05:43,376.89
2024-12-29 18:05:45,383.85
2024-12-29 18:05:48,384.05
2024-12-29 18:05:50,385.66
2024-12-29 18:05:52,368.48
2024-12-29 18:05:54,370.57
2024-12-29 18:05:57,373.02
2024-12-29 18:05:59,368.21
2024-12-29 18:06:01,368.19
2024-12-29 18:06:03,368.18
2024-12-29 18:06:06,368.16
2024-12-29 18:06:08,368.95
2024-12-29 18:06:10,375.96
2024-12-29 18:06:12,376.99
2024-12-29 18:06:15,374.28
2024-12-29 18:06:17,384.44
2024-12-29 18:06:19,379.79
2024-12-29 18:06:21,384.61
2024-12-29 18:06:24,379.78
2024-12-29 18:06:26,371.25
2024-12-29 18:06:28,371.25
2024-12-29 18:06:30,367.51
2024-12-29 18:06:33,363.20
2024-12-29 18:06:35,366.60
2024-12-29 18:06:37,370.00
2024-12-29 18:06:39,373.56
2024-12-29 18:06:41,375.91
2024-12-29 18:06:44,374.22
2024-12-29 18:06:46,379.06
2024-12-29 18:06:48,374.23
2024-12-29 18:06:50,374.03
2024-12-29 18:06:53,373.99
2024-12-29 18:06:55,381.00
2024-12-29 18:06:57,380.69
2024-12-29 18:06:59,384.43
2024-12-29 18:07:02,385.52
2024-12-29 18:07:04,387.56
2024-12-29 18:07:06,367.04
2024-12-29 18:07:08,368.96
2024-12-29 18:07:11,364.14
2024-12-29 18:07:13,364.10
2024-12-29 18:07:15,364.09
2024-12-29 18:07:17,364.10
2024-12-29 18:07:20,365.34
2024-12-29 18:07:22,372.39
2024-12-29 18:07:24,374.68
2024-12-29 18:07:27,376.95
2024-12-29 18:07:29,378.70
2024-12-29 18:07:31,380.04
2024-12-29 18:07:33,382.20
2024-12-29 18:07:36,377.38
2024-12-29 18:07:38,377.38
2024-12-29 18:07:40,377.32
2024-12-29 18:07:42,378.43
2024-12-29 18:07:44,385.29
2024-12-29 18:07:47,384.76
2024-12-29 18:07:49,370.74
2024-12-29 18:07:51,367.50
2024-12-29 18:07:53,374.58
2024-12-29 18:07:56,376.73
2024-12-29 18:07:58,377.37
2024-12-29 18:08:00,372.55
2024-12-29 18:08:02,372.51
2024-12-29 18:08:05,372.48
2024-12-29 18:08:07,373.62
2024-12-29 18:08:09,380.53
2024-12-29 18:08:11,381.57
2024-12-29 18:08:14,377.86
2024-12-29 18:08:16,384.82
2024-12-29 18:08:18,386.84
2024-12-29 18:08:20,367.81
2024-12-29 18:08:23,362.99
2024-12-29 18:08:25,363.17
2024-12-29 18:08:27,356.15
2024-12-29 18:08:29,356.14
2024-12-29 18:08:32,364.48
2024-12-29 18:08:34,362.31
2024-12-29 18:08:36,369.59
2024-12-29 18:08:38,371.60
2024-12-29 18:08:41,376.53
2024-12-29 18:08:43,371.71
2024-12-29 18:08:45,379.73
2024-12-29 18:08:47,374.91
2024-12-29 18:08:50,375.03
2024-12-29 18:08:52,375.01
2024-12-29 18:08:54,374.99
2024-12-29 18:08:56,377.23
2024-12-29 18:08:59,385.91
2024-12-29 18:09:01,386.05
2024-12-29 18:09:03,387.89
2024-12-29 18:09:05,388.55
2024-12-29 18:09:08,367.96
2024-12-29 18:09:10,371.48
2024-12-29 18:09:12,366.67
2024-12-29 18:09:14,366.60
2024-12-29 18:09:17,366.60
2024-12-29 18:09:19,367.77
2024-12-29 18:09:21,373.01
2024-12-29 18:09:23,375.76
2024-12-29 18:09:25,370.94
2024-12-29 18:09:28,377.40
2024-12-29 18:09:30,381.68
2024-12-29 18:09:32,383.99
2024-12-29 18:09:34,378.52
2024-12-29 18:09:37,378.50
2024-12-29 18:09:39,378.55
2024-12-29 18:09:41,378.55
2024-12-29 18:09:43,380.89
2024-12-29 18:09:46,386.88
2024-12-29 18:09:48,383.04
2024-12-29 18:09:50,388.38
2024-12-29 18:09:52,371.67
2024-12-29 18:09:55,373.68
2024-12-29 18:09:57,369.88
2024-12-29 18:09:59,374.69
2024-12-29 18:10:02,369.87
2024-12-29 18:10:04,369.85
2024-12-29 18:10:06,369.80
2024-12-29 18:10:08,371.85
2024-12-29 18:10:10,377.70
2024-12-29 18:10:13,373.89
2024-12-29 18:10:15,382.37
2024-12-29 18:10:17,382.50
2024-12-29 18:10:19,379.35
2024-12-29 18:10:22,385.69
2024-12-29 18:10:24,382.62
2024-12-29 18:10:26,381.17
2024-12-29 18:10:29,376.34
2024-12-29 18:10:31,378.43
2024-12-29 18:10:33,361.45
2024-12-29 18:10:35,370.46
2024-12-29 18:10:38,372.48
2024-12-29 18:10:40,374.43
2024-12-29 18:10:42,371.97
2024-12-29 18:10:44,377.92
2024-12-29 18:10:46,379.27
2024-12-29 18:10:49,374.46
2024-12-29 18:10:51,374.38
2024-12-29 18:10:53,374.39
2024-12-29 18:10:55,376.54
2024-12-29 18:10:58,381.03
2024-12-29 18:11:00,383.24
2024-12-29 18:11:02,386.75
2024-12-29 18:11:04,387.24
2024-12-29 18:11:07,365.25
2024-12-29 18:11:09,366.26
2024-12-29 18:11:11,370.84
2024-12-29 18:11:13,366.00
2024-12-29 18:11:16,365.95
2024-12-29 18:11:18,367.09
2024-12-29 18:11:20,371.24
2024-12-29 18:11:22,372.70
2024-12-29 18:11:25,374.81
2024-12-29 18:11:27,378.07
2024-12-29 18:11:29,380.16
2024-12-29 18:11:31,387.07
2024-12-29 18:11:34,383.80
2024-12-29 18:11:36,378.82
2024-12-29 18:11:38,378.78
2024-12-29 18:11:40,378.78
2024-12-29 18:11:43,379.69
2024-12-29 18:11:45,386.78
2024-12-29 18:11:47,369.19
2024-12-29 18:11:49,368.01
2024-12-29 18:11:52,375.98
2024-12-29 18:11:54,376.07
2024-12-29 18:11:56,378.60
2024-12-29 18:11:58,373.77
2024-12-29 18:12:01,373.73
2024-12-29 18:12:03,373.73
2024-12-29 18:12:05,373.71
2024-12-29 18:12:07,380.73
2024-12-29 18:12:10,382.89
2024-12-29 18:12:12,383.08
2024-12-29 18:12:14,385.22
2024-12-29 18:12:16,381.58
2024-12-29 18:12:19,384.37
2024-12-29 18:12:21,369.82
2024-12-29 18:12:23,364.03
2024-12-29 18:12:25,359.86
2024-12-29 18:12:28,350.42
2024-12-29 18:12:30,350.22
